action_id,action_type,target,timestamp
1,ADD_PLAYER,Davis,2024-01-01 00:00:20
2,UPDATE_STATS,Johnson,2024-01-01 00:00:40
3,ADD_PLAYER,Garcia,2024-01-01 00:01:00
4,REMOVE_TRANSACTION,Taylor,2024-01-01 00:01:20
5,ADD_PLAYER,Davis,2024-01-01 00:01:40
6,REMOVE_TRANSACTION,Smith,2024-01-01 00:02:00
7,ADD_TRANSACTION,Johnson,2024-01-01 00:02:20
8,REMOVE_PLAYER,Jackson,2024-01-01 00:02:40
9,ADD_PLAYER,Johnson,2024-01-01 00:03:00
10,REMOVE_TRANSACTION,Jones,2024-01-01 00:03:20
11,ADD_TRANSACTION,Brown,2024-01-01 00:03:40
12,UPDATE_STATS,Brown,2024-01-01 00:04:00
13,ADD_TRANSACTION,Taylor,2024-01-01 00:04:20
14,REMOVE_PLAYER,Williams,2024-01-01 00:04:40
15,REMOVE_PLAYER,Wilson,2024-01-01 00:05:00
16,ADD_TRANSACTION,Garcia,2024-01-01 00:05:20
17,REMOVE_TRANSACTION,Moore,2024-01-01 00:05:40
18,REMOVE_PLAYER,Moore,2024-01-01 00:06:00
19,REMOVE_TRANSACTION,Johnson,2024-01-01 00:06:20
20,ADD_TRANSACTION,Johnson,2024-01-01 00:06:40
21,REMOVE_PLAYER,Williams,2024-01-01 00:07:00
22,ADD_PLAYER,Moore,2024-01-01 00:07:20
23,ADD_PLAYER,Smith,2024-01-01 00:07:40
24,REMOVE_TRANSACTION,Davis,2024-01-01 00:08:00
25,ADD_PLAYER,Davis,2024-01-01 00:08:20
26,UPDATE_STATS,Johnson,2024-01-01 00:08:40
27,UPDATE_STATS,Johnson,2024-01-01 00:09:00
28,REMOVE_PLAYER,Jackson,2024-01-01 00:09:20
29,REMOVE_PLAYER,Jones,2024-01-01 00:09:40
30,ADD_TRANSACTION,Smith,2024-01-01 00:10:00
31,REMOVE_PLAYER,Davis,2024-01-01 00:10:20
32,ADD_TRANSACTION,Smith,2024-01-01 00:10:40
33,ADD_TRANSACTION,Johnson,2024-01-01 00:11:00
34,REMOVE_TRANSACTION,Garcia,2024-01-01 00:11:20
35,REMOVE_TRANSACTION,Brown,2024-01-01 00:11:40
36,REMOVE_TRANSACTION,Miller,2024-01-01 00:12:00
37,UPDATE_STATS,Jones,2024-01-01 00:12:20
38,UPDATE_STATS,Taylor,2024-01-01 00:12:40
39,REMOVE_TRANSACTION,Garcia,2024-01-01 00:13:00
40,UPDATE_STATS,Jackson,2024-01-01 00:13:20
41,ADD_TRANSACTION,Jackson,2024-01-01 00:13:40
42,ADD_PLAYER,Miller,2024-01-01 00:14:00
43,UPDATE_STATS,Wilson,2024-01-01 00:14:20
44,ADD_TRANSACTION,Jackson,2024-01-01 00:14:40
45,ADD_TRANSACTION,Garcia,2024-01-01 00:15:00
46,REMOVE_PLAYER,Garcia,2024-01-01 00:15:20
47,UPDATE_STATS,Wilson,2024-01-01 00:15:40
48,UPDATE_STATS,Williams,2024-01-01 00:16:00
49,UPDATE_STATS,Jones,2024-01-01 00:16:20
50,REMOVE_PLAYER,Jones,2024-01-01 00:16:40
51,REMOVE_TRANSACTION,Taylor,2024-01-01 00:17:00
52,UPDATE_STATS,Smith,2024-01-01 00:17:20
53,ADD_PLAYER,Garcia,2024-01-01 00:17:40
54,ADD_PLAYER,Jackson,2024-01-01 00:18:00
55,REMOVE_PLAYER,Jones,2024-01-01 00:18:20
56,REMOVE_PLAYER,Davis,2024-01-01 00:18:40
57,REMOVE_PLAYER,Williams,2024-01-01 00:19:00
58,ADD_PLAYER,Williams,2024-01-01 00:19:20
59,REMOVE_PLAYER,Wilson,2024-01-01 00:19:40
60,REMOVE_TRANSACTION,Moore,2024-01-01 00:20:00
61,REMOVE_TRANSACTION,Smith,2024-01-01 00:20:20
62,REMOVE_PLAYER,Johnson,2024-01-01 00:20:40
63,UPDATE_STATS,Taylor,2024-01-01 00:21:00
64,ADD_PLAYER,Moore,2024-01-01 00:21:20
65,UPDATE_STATS,Davis,2024-01-01 00:21:40
66,REMOVE_PLAYER,Williams,2024-01-01 00:22:00
67,ADD_PLAYER,Johnson,2024-01-01 00:22:20
68,ADD_PLAYER,Brown,2024-01-01 00:22:40
69,ADD_TRANSACTION,Brown,2024-01-01 00:23:00
70,ADD_PLAYER,Johnson,2024-01-01 00:23:20
71,REMOVE_PLAYER,Garcia,2024-01-01 00:23:40
72,REMOVE_TRANSACTION,Smith,2024-01-01 00:24:00
73,REMOVE_TRANSACTION,Taylor,2024-01-01 00:24:20
74,ADD_PLAYER,Taylor,2024-01-01 00:24:40
75,ADD_TRANSACTION,Davis,2024-01-01 00:25:00
76,REMOVE_PLAYER,Wilson,2024-01-01 00:25:20
77,ADD_TRANSACTION,Jackson,2024-01-01 00:25:40
78,REMOVE_PLAYER,Williams,2024-01-01 00:26:00
79,ADD_PLAYER,Williams,2024-01-01 00:26:20
80,ADD_TRANSACTION,Smith,2024-01-01 00:26:40
81,REMOVE_TRANSACTION,Smith,2024-01-01 00:27:00
82,ADD_PLAYER,Taylor,2024-01-01 00:27:20
83,UPDATE_STATS,Moore,2024-01-01 00:27:40
84,UPDATE_STATS,Moore,2024-01-01 00:28:00
85,ADD_PLAYER,Jones,2024-01-01 00:28:20
86,ADD_PLAYER,Johnson,2024-01-01 00:28:40
87,UPDATE_STATS,Davis,2024-01-01 00:29:00
88,REMOVE_TRANSACTION,Williams,2024-01-01 00:29:20
89,REMOVE_PLAYER,Wilson,2024-01-01 00:29:40
90,REMOVE_PLAYER,Garcia,2024-01-01 00:30:00
91,REMOVE_TRANSACTION,Wilson,2024-01-01 00:30:20
92,ADD_TRANSACTION,Smith,2024-01-01 00:30:40
93,ADD_TRANSACTION,Wilson,2024-01-01 00:31:00
94,REMOVE_PLAYER,Brown,2024-01-01 00:31:20
95,REMOVE_TRANSACTION,Williams,2024-01-01 00:31:40
96,UPDATE_STATS,Garcia,2024-01-01 00:32:00
97,ADD_PLAYER,Smith,2024-01-01 00:32:20
98,UPDATE_STATS,Jones,2024-01-01 00:32:40
99,UPDATE_STATS,Taylor,2024-01-01 00:33:00
100,REMOVE_PLAYER,Jones,2024-01-01 00:33:20
101,REMOVE_TRANSACTION,Smith,2024-01-01 00:33:40
102,UPDATE_STATS,Garcia,2024-01-01 00:34:00
103,ADD_PLAYER,Johnson,2024-01-01 00:34:20
104,REMOVE_PLAYER,Brown,2024-01-01 00:34:40
105,ADD_PLAYER,Johnson,2024-01-01 00:35:00
106,REMOVE_TRANSACTION,Miller,2024-01-01 00:35:20
107,ADD_TRANSACTION,Smith,2024-01-01 00:35:40
108,ADD_PLAYER,Jones,2024-01-01 00:36:00
109,UPDATE_STATS,Williams,2024-01-01 00:36:20
110,REMOVE_PLAYER,Moore,2024-01-01 00:36:40
111,REMOVE_PLAYER,Wilson,2024-01-01 00:37:00
112,UPDATE_STATS,Williams,2024-01-01 00:37:20
113,UPDATE_STATS,Davis,2024-01-01 00:37:40
114,UPDATE_STATS,Jones,2024-01-01 00:38:00
115,REMOVE_TRANSACTION,Jones,2024-01-01 00:38:20
116,REMOVE_PLAYER,Jones,2024-01-01 00:38:40
117,UPDATE_STATS,Johnson,2024-01-01 00:39:00
118,ADD_TRANSACTION,Johnson,2024-01-01 00:39:20
119,ADD_PLAYER,Smith,2024-01-01 00:39:40
120,REMOVE_TRANSACTION,Wilson,2024-01-01 00:40:00
121,ADD_TRANSACTION,Wilson,2024-01-01 00:40:20
