drill_id,name,urgency,duration_min,fatigue_cost,install_by_day
2001,Special Teams Lane 1,2,12,7,4
2002,DB Footwork 2,2,8,3,4
2003,Screen Defense 3,2,20,2,7
2004,Blitz Pickup 4,3,12,9,7
2005,Ball Security 5,2,18,7,7
2006,Goal Line 6,4,10,5,1
2007,Two-Minute Drill 7,1,10,8,3
2008,Pass Rush Moves 8,2,18,4,1
2009,Goal Line 9,3,15,8,5
2010,Screen Defense 10,5,20,6,6
2011,Blitz Pickup 11,2,8,3,1
2012,OL Zone Steps 12,5,12,4,7
2013,Ball Security 13,2,10,7,7
2014,Two-Minute Drill 14,2,18,8,3
2015,Goal Line 15,5,18,4,4
2016,Pass Rush Moves 16,3,20,10,7
2017,Screen Defense 17,4,10,8,5
2018,OL Zone Steps 18,2,8,9,6
2019,Pass Rush Moves 19,2,18,6,4
2020,Pass Rush Moves 20,1,20,7,4
2021,Blitz Pickup 21,2,15,9,6
2022,Screen Defense 22,5,15,2,5
2023,Red Zone Passing 23,5,18,6,4
2024,Tackling Form 24,1,10,5,3
2025,Red Zone Passing 25,3,18,8,4
2026,OL Zone Steps 26,2,10,9,6
2027,DB Footwork 27,5,12,7,5
2028,Screen Defense 28,5,20,5,7
2029,Coverage Shells 29,5,15,9,6
2030,Pass Rush Moves 30,4,10,9,6
2031,Tackling Form 31,2,12,1,7
2032,Pass Rush Moves 32,3,20,5,3
2033,Ball Security 33,4,18,8,2
2034,DB Footwork 34,5,12,3,2
2035,DB Footwork 35,3,18,6,5
2036,Coverage Shells 36,2,15,1,7
2037,Ball Security 37,4,12,10,1
2038,Red Zone Passing 38,1,18,5,2
2039,OL Zone Steps 39,4,8,10,4
2040,Goal Line 40,1,10,1,4
2041,Blitz Pickup 41,1,8,2,7
2042,Goal Line 42,3,20,7,4
2043,Screen Defense 43,5,12,5,3
2044,Screen Defense 44,2,15,9,4
2045,Two-Minute Drill 45,2,15,4,4
2046,OL Zone Steps 46,2,10,9,2
2047,Blitz Pickup 47,3,8,3,5
2048,Run Fits 48,3,15,2,2
2049,Two-Minute Drill 49,2,8,4,1
2050,DB Footwork 50,3,10,5,6
2051,Screen Defense 51,5,12,7,7
2052,Coverage Shells 52,4,12,9,7
2053,Screen Defense 53,4,10,9,5
2054,Two-Minute Drill 54,5,15,9,6
2055,DB Footwork 55,1,20,4,6
2056,Goal Line 56,5,10,5,1
2057,Goal Line 57,2,8,4,2
2058,Pass Rush Moves 58,4,18,5,6
2059,Run Fits 59,5,8,10,5
2060,Two-Minute Drill 60,5,18,6,2
2061,Red Zone Passing 61,4,10,2,5
2062,Two-Minute Drill 62,5,18,6,1
2063,OL Zone Steps 63,1,15,3,4
2064,RPO Reads 64,3,18,9,1
2065,DB Footwork 65,3,15,4,5
2066,Ball Security 66,1,10,9,3
2067,Run Fits 67,2,12,9,2
2068,Coverage Shells 68,4,10,1,3
2069,Screen Defense 69,5,12,7,1
2070,Coverage Shells 70,1,20,8,2
2071,Screen Defense 71,5,15,2,3
2072,Two-Minute Drill 72,4,18,4,4
2073,Run Fits 73,2,12,3,3
2074,Ball Security 74,2,10,8,2
2075,Red Zone Passing 75,3,20,2,5
2076,OL Zone Steps 76,2,12,9,1
2077,RPO Reads 77,3,18,3,5
2078,Blitz Pickup 78,5,10,8,1
2079,Two-Minute Drill 79,2,10,2,4
2080,RPO Reads 80,3,12,1,6
2081,Ball Security 81,2,20,10,4
2082,Red Zone Passing 82,3,18,3,5
2083,Special Teams Lane 83,2,10,9,3
2084,Red Zone Passing 84,2,12,4,3
2085,RPO Reads 85,1,10,3,7
2086,RPO Reads 86,3,10,9,6
2087,Run Fits 87,5,15,4,2
2088,OL Zone Steps 88,5,15,5,6
2089,Coverage Shells 89,1,15,10,6
2090,Run Fits 90,1,15,8,4
2091,Run Fits 91,1,12,7,7
2092,DB Footwork 92,4,20,3,5
2093,Two-Minute Drill 93,1,18,3,2
2094,Blitz Pickup 94,2,15,4,4
2095,Tackling Form 95,2,18,3,5
2096,Red Zone Passing 96,1,10,1,1
2097,Pass Rush Moves 97,2,15,1,4
2098,Ball Security 98,5,10,9,5
2099,Two-Minute Drill 99,5,18,3,7
2100,Pass Rush Moves 100,4,12,1,6
2101,Two-Minute Drill 101,5,10,1,4
2102,Special Teams Lane 102,4,8,6,1
2103,OL Zone Steps 103,4,10,1,2
2104,OL Zone Steps 104,5,18,6,6
