playerId,name,position,yards,touchdowns,injured
1001,Brown_Sr,S,1078,8,False
1002,Wilson_,QB,479,20,False
1003,Jackson_Jr,LB,951,2,True
1004,Miller_,WR,689,12,True
1005,Wilson_,RB,1287,8,True
1006,Smith_,CB,428,4,True
1007,Jones_,K,754,1,False
1008,Williams_Jr,QB,1208,0,True
1009,Jones_,LB,994,15,True
1010,Jones_,TE,760,9,True
1011,Johnson_,K,998,8,True
1012,Brown_Jr,OL,1121,16,False
1013,Miller_IV,RB,1075,20,False
1014,Smith_,QB,1325,0,False
1015,Wilson_III,RB,1404,10,False
1016,Miller_Jr,QB,1092,16,False
1017,Moore_Jr,S,251,11,True
1018,Jackson_IV,K,986,3,True
1019,Johnson_Sr,TE,857,16,True
1020,Moore_III,QB,827,17,False
1021,Jones_,CB,731,5,False
1022,Jackson_III,QB,869,20,False
1023,Johnson_III,OL,1031,17,False
1024,Smith_III,QB,662,4,True
1025,Jones_IV,LB,1492,1,True
1026,Smith_,CB,1171,1,False
1027,Davis_Sr,LB,161,8,False
1028,Wilson_III,TE,558,11,True
1029,Brown_,WR,889,12,False
1030,Jones_III,RB,241,1,False
1031,Smith_Jr,RB,123,9,True
1032,Brown_Sr,OL,149,9,False
1033,Wilson_Sr,CB,1242,12,True
1034,Smith_III,RB,226,10,False
1035,Wilson_Jr,WR,932,10,False
1036,Miller_,RB,259,15,False
1037,Johnson_,S,1096,19,True
1038,Miller_III,S,280,13,True
1039,Moore_Sr,TE,749,3,True
1040,Johnson_III,WR,946,16,True
1041,Johnson_Sr,DL,96,19,False
1042,Johnson_III,CB,1318,10,True
1043,Brown_Jr,OL,371,3,False
1044,Jackson_Jr,TE,872,15,True
1045,Jackson_III,S,963,7,True
1046,Miller_Jr,OL,464,5,False
1047,Brown_III,DL,1122,12,False
1048,Davis_III,QB,1094,8,False
1049,Williams_III,RB,1093,15,True
1050,Johnson_III,QB,332,20,False
1051,Jones_Jr,WR,1405,12,True
1052,Davis_IV,DL,1028,16,False
1053,Smith_Jr,OL,1117,9,True
1054,Smith_,CB,1396,7,False
1055,Wilson_Jr,WR,1141,0,True
1056,Miller_,CB,52,12,True
1057,Wilson_III,S,455,10,False
1058,Smith_Sr,RB,287,15,False
1059,Johnson_,CB,824,10,True
1060,Wilson_Jr,S,479,10,False
1061,Miller_Jr,TE,249,5,True
1062,Williams_III,OL,442,13,True
1063,Miller_IV,S,1277,2,True
1064,Johnson_Jr,DL,502,4,True
1065,Brown_,OL,830,5,True
1066,Jones_III,WR,1089,14,True
1067,Miller_,TE,621,19,True
1068,Johnson_III,K,1014,15,True
1069,Smith_IV,CB,243,2,True
1070,Smith_,CB,1127,20,False
1071,Davis_III,LB,7,19,False
1072,Wilson_,S,1250,15,False
1073,Moore_Jr,LB,696,11,False
1074,Jackson_,QB,28,0,True
1075,Davis_,LB,1008,3,False
1076,Jackson_,RB,80,19,False
1077,Wilson_Jr,TE,992,7,False
1078,Jackson_III,S,1129,5,False
1079,Williams_Sr,S,1014,8,False
1080,Jones_III,QB,920,6,True
1081,Williams_III,TE,1441,17,False
1082,Jones_,DL,786,18,False
1083,Wilson_Jr,S,1434,1,False
1084,Williams_,RB,828,14,False
1085,Johnson_IV,TE,114,8,True
1086,Johnson_III,DL,1364,1,False
1087,Davis_Sr,QB,1406,1,False
1088,Miller_IV,K,1327,20,False
1089,Jones_III,S,601,9,False
1090,Smith_,LB,1195,14,True
1091,Davis_IV,OL,729,0,True
1092,Brown_III,DL,833,3,False
1093,Brown_Jr,K,973,1,False
1094,Williams_III,QB,497,12,False
1095,Miller_Jr,OL,1247,17,False
1096,Davis_Jr,DL,1357,12,True
1097,Moore_Sr,RB,1069,19,True
1098,Wilson_Jr,TE,843,20,False
1099,Jones_IV,QB,1035,8,True
1100,Williams_III,RB,436,0,True
1101,Wilson_IV,CB,509,14,True
1102,Moore_IV,CB,207,18,True
1103,Jackson_Sr,S,1097,9,True
1104,Johnson_III,LB,1354,17,True
1105,Johnson_,OL,1200,1,True
1106,Moore_III,K,31,16,False
1107,Jones_Sr,DL,374,20,True
1108,Wilson_Sr,RB,877,11,True
1109,Wilson_III,K,700,16,False
1110,Miller_IV,K,399,16,False
1111,Williams_IV,LB,1322,2,False
1112,Jackson_III,RB,1319,10,False
1113,Miller_III,DL,336,16,True
1114,Brown_IV,LB,1450,4,True
1115,Johnson_,S,188,19,True
1116,Williams_Jr,CB,498,19,False
1117,Miller_,RB,162,14,True
1118,Smith_Jr,RB,622,17,True
1119,Moore_Jr,QB,950,9,True
1120,Wilson_III,TE,185,11,False
1121,Moore_IV,CB,871,8,True
1122,Johnson_Jr,QB,1181,15,False
1123,Brown_IV,TE,292,18,True
1124,Johnson_Jr,CB,347,7,False
1125,Johnson_III,K,1069,15,True
1126,Davis_III,RB,1399,16,True
1127,Smith_,K,25,0,False
1128,Jones_Jr,K,1092,18,False
1129,Wilson_,DL,329,3,False
1130,Jones_Sr,RB,905,10,False
1131,Brown_IV,LB,516,10,False
1132,Moore_III,K,963,10,True
1133,Wilson_,OL,591,0,False
1134,Miller_,DL,594,12,True
1135,Jackson_,RB,836,16,True
