fan_id,name,service_type,arrival_time
1,Fan1,Info Desk,09:00:15
2,Fan2,Merchandise,09:00:30
3,Fan3,Ticket Purchase,09:00:45
4,Fan4,Will Call,09:01:00
5,Fan5,Merchandise,09:01:15
6,Fan6,Info Desk,09:01:30
7,Fan7,Will Call,09:01:45
8,Fan8,Will Call,09:02:00
9,Fan9,Info Desk,09:02:15
10,Fan10,Will Call,09:02:30
11,Fan11,Ticket Purchase,09:02:45
12,Fan12,Merchandise,09:03:00
13,Fan13,Will Call,09:03:15
14,Fan14,Ticket Purchase,09:03:30
15,Fan15,Merchandise,09:03:45
16,Fan16,Ticket Purchase,09:04:00
17,Fan17,Merchandise,09:04:15
18,Fan18,Ticket Purchase,09:04:30
19,Fan19,Will Call,09:04:45
20,Fan20,Ticket Purchase,09:05:00
21,Fan21,Merchandise,09:05:15
22,Fan22,Merchandise,09:05:30
23,Fan23,Merchandise,09:05:45
24,Fan24,Ticket Purchase,09:06:00
25,Fan25,Merchandise,09:06:15
26,Fan26,Ticket Purchase,09:06:30
27,Fan27,Info Desk,09:06:45
28,Fan28,Ticket Purchase,09:07:00
29,Fan29,Will Call,09:07:15
30,Fan30,Will Call,09:07:30
31,Fan31,Will Call,09:07:45
32,Fan32,Will Call,09:08:00
33,Fan33,Will Call,09:08:15
34,Fan34,Merchandise,09:08:30
35,Fan35,Merchandise,09:08:45
36,Fan36,Info Desk,09:09:00
37,Fan37,Info Desk,09:09:15
38,Fan38,Will Call,09:09:30
39,Fan39,Ticket Purchase,09:09:45
40,Fan40,Info Desk,09:10:00
41,Fan41,Will Call,09:10:15
42,Fan42,Will Call,09:10:30
43,Fan43,Merchandise,09:10:45
44,Fan44,Merchandise,09:11:00
45,Fan45,Ticket Purchase,09:11:15
46,Fan46,Ticket Purchase,09:11:30
47,Fan47,Will Call,09:11:45
48,Fan48,Will Call,09:12:00
49,Fan49,Ticket Purchase,09:12:15
50,Fan50,Will Call,09:12:30
51,Fan51,Ticket Purchase,09:12:45
52,Fan52,Info Desk,09:13:00
53,Fan53,Info Desk,09:13:15
54,Fan54,Merchandise,09:13:30
55,Fan55,Merchandise,09:13:45
56,Fan56,Will Call,09:14:00
57,Fan57,Merchandise,09:14:15
58,Fan58,Merchandise,09:14:30
59,Fan59,Will Call,09:14:45
60,Fan60,Ticket Purchase,09:15:00
61,Fan61,Info Desk,09:15:15
62,Fan62,Will Call,09:15:30
63,Fan63,Info Desk,09:15:45
64,Fan64,Merchandise,09:16:00
65,Fan65,Ticket Purchase,09:16:15
66,Fan66,Info Desk,09:16:30
67,Fan67,Ticket Purchase,09:16:45
68,Fan68,Merchandise,09:17:00
69,Fan69,Merchandise,09:17:15
70,Fan70,Info Desk,09:17:30
71,Fan71,Will Call,09:17:45
72,Fan72,Info Desk,09:18:00
73,Fan73,Ticket Purchase,09:18:15
74,Fan74,Info Desk,09:18:30
75,Fan75,Ticket Purchase,09:18:45
76,Fan76,Info Desk,09:19:00
77,Fan77,Info Desk,09:19:15
78,Fan78,Ticket Purchase,09:19:30
79,Fan79,Will Call,09:19:45
80,Fan80,Merchandise,09:20:00
81,Fan81,Merchandise,09:20:15
82,Fan82,Will Call,09:20:30
83,Fan83,Ticket Purchase,09:20:45
84,Fan84,Merchandise,09:21:00
85,Fan85,Ticket Purchase,09:21:15
86,Fan86,Info Desk,09:21:30
87,Fan87,Will Call,09:21:45
88,Fan88,Merchandise,09:22:00
89,Fan89,Merchandise,09:22:15
90,Fan90,Merchandise,09:22:30
91,Fan91,Ticket Purchase,09:22:45
92,Fan92,Info Desk,09:23:00
93,Fan93,Ticket Purchase,09:23:15
94,Fan94,Will Call,09:23:30
95,Fan95,Will Call,09:23:45
96,Fan96,Will Call,09:24:00
97,Fan97,Will Call,09:24:15
98,Fan98,Ticket Purchase,09:24:30
99,Fan99,Ticket Purchase,09:24:45
100,Fan100,Ticket Purchase,09:25:00
101,Fan101,Info Desk,09:25:15
102,Fan102,Will Call,09:25:30
103,Fan103,Will Call,09:25:45
104,Fan104,Ticket Purchase,09:26:00
105,Fan105,Will Call,09:26:15
106,Fan106,Will Call,09:26:30
107,Fan107,Ticket Purchase,09:26:45
108,Fan108,Info Desk,09:27:00
109,Fan109,Info Desk,09:27:15
110,Fan110,Will Call,09:27:30
111,Fan111,Will Call,09:27:45
112,Fan112,Ticket Purchase,09:28:00
113,Fan113,Will Call,09:28:15
114,Fan114,Merchandise,09:28:30
115,Fan115,Merchandise,09:28:45
116,Fan116,Ticket Purchase,09:29:00
117,Fan117,Will Call,09:29:15
118,Fan118,Ticket Purchase,09:29:30
119,Fan119,Will Call,09:29:45
120,Fan120,Merchandise,09:30:00
121,Fan121,Info Desk,09:30:15
122,Fan122,Info Desk,09:30:30
123,Fan123,Ticket Purchase,09:30:45
124,Fan124,Merchandise,09:31:00
125,Fan125,Will Call,09:31:15
126,Fan126,Will Call,09:31:30
127,Fan127,Merchandise,09:31:45
128,Fan128,Info Desk,09:32:00
129,Fan129,Ticket Purchase,09:32:15
130,Fan130,Ticket Purchase,09:32:30
131,Fan131,Info Desk,09:32:45
132,Fan132,Ticket Purchase,09:33:00
