player_id,name,position,jersey,yards
1,Brown1,TE,75,300
2,Williams2,RB,62,3827
3,Williams3,S,40,2316
4,Johnson4,S,83,2229
5,Hernandez5,CB,5,2841
6,Jones6,RB,91,756
7,Martin7,QB,98,1750
8,Martinez8,CB,17,70
9,Rodriguez9,RB,48,2376
10,Martinez10,TE,54,1230
11,Garcia11,CB,40,2078
12,Moore12,LB,75,3518
13,Jones13,OL,15,2321
14,Martinez14,DL,49,3188
15,Gonzalez15,DL,82,2238
16,Anderson16,RB,7,2793
17,Wilson17,WR,13,1947
18,Thomas18,QB,10,544
19,Smith19,RB,92,1855
20,Rodriguez20,DL,7,2132
21,Hernandez21,LB,19,3607
22,Williams22,WR,96,300
23,Anderson23,LB,70,3177
24,Jackson24,DL,15,2962
25,Davis25,TE,88,0
26,Lopez26,TE,92,1748
27,Anderson27,WR,1,757
28,Hernandez28,WR,80,1041
29,Jones29,LB,66,3224
30,Lopez30,CB,34,987
31,Williams31,WR,68,736
32,Davis32,RB,94,668
33,Martinez33,WR,12,2433
34,Taylor34,S,37,1280
35,Rodriguez35,QB,40,829
36,Jones36,OL,37,2649
37,Wilson37,S,13,2090
38,Anderson38,TE,72,510
39,Gonzalez39,QB,9,2160
40,Davis40,DL,97,3016
41,Williams41,DL,22,2107
42,Martin42,S,66,71
43,Jones43,S,35,1122
44,Hernandez44,WR,50,1654
45,Jones45,RB,25,1213
46,Williams46,WR,52,3763
47,Rodriguez47,RB,34,3808
48,Williams48,WR,61,2477
49,Brown49,RB,45,1517
50,Martin50,WR,38,1241
51,Brown51,QB,88,2411
52,Taylor52,QB,3,775
53,Lopez53,TE,80,1441
54,Moore54,CB,67,354
55,Williams55,OL,92,2886
56,Jones56,OL,8,771
57,Lopez57,TE,89,1064
58,Johnson58,DL,73,1792
59,Smith59,CB,27,2659
60,Miller60,S,31,1768
61,Garcia61,TE,60,727
62,Williams62,WR,21,2795
63,Johnson63,QB,16,3790
64,Martin64,DL,13,2320
65,Thomas65,TE,52,794
66,Moore66,RB,76,3123
67,Martin67,CB,78,2093
68,Martin68,QB,31,2141
69,Martinez69,S,74,1151
70,Williams70,QB,61,2041
