trans_id,type,player,timestamp
1001,Signing,Garcia86,2024-01-02
1002,Suspension,Lopez20,2024-01-03
1003,Signing,Smith2,2024-01-04
1004,Trade,Jones32,2024-01-05
1005,Injury,Smith1,2024-01-06
1006,Return,Garcia72,2024-01-07
1007,Trade,Jackson45,2024-01-08
1008,Injury,Rodriguez24,2024-01-09
1009,Trade,Williams76,2024-01-10
1010,Activation,Martin3,2024-01-11
1011,Suspension,Jackson75,2024-01-12
1012,Return,Martinez26,2024-01-13
1013,Release,Lopez70,2024-01-14
1014,Activation,Hernandez61,2024-01-15
1015,Injury,Jones16,2024-01-16
1016,Signing,Martinez6,2024-01-17
1017,Suspension,Davis30,2024-01-18
1018,Activation,Johnson77,2024-01-19
1019,Signing,Martinez29,2024-01-20
1020,Trade,Taylor34,2024-01-21
1021,Suspension,Moore11,2024-01-22
1022,Signing,Anderson91,2024-01-23
1023,Activation,Taylor9,2024-01-24
1024,Release,Miller21,2024-01-25
1025,Injury,Anderson89,2024-01-26
1026,Suspension,Miller79,2024-01-27
1027,Activation,Anderson10,2024-01-28
1028,Trade,Martin83,2024-01-29
1029,Trade,Wilson16,2024-01-30
1030,Suspension,Rodriguez60,2024-01-31
1031,Return,Johnson25,2024-02-01
1032,Release,Martinez12,2024-02-02
1033,Release,Smith47,2024-02-03
1034,Signing,Jones24,2024-02-04
1035,Trade,Gonzalez36,2024-02-05
1036,Suspension,Johnson97,2024-02-06
1037,Injury,Lopez24,2024-02-07
1038,Injury,Jones53,2024-02-08
1039,Release,Rodriguez40,2024-02-09
1040,Activation,Rodriguez25,2024-02-10
1041,Suspension,Jackson67,2024-02-11
1042,Suspension,Anderson98,2024-02-12
1043,Suspension,Williams78,2024-02-13
1044,Injury,Moore51,2024-02-14
1045,Activation,Moore82,2024-02-15
1046,Injury,Rodriguez12,2024-02-16
1047,Signing,Martin97,2024-02-17
1048,Suspension,Rodriguez58,2024-02-18
1049,Signing,Lopez40,2024-02-19
1050,Signing,Moore24,2024-02-20
