trans_id,type,player,timestamp
1001,Trade,Hernandez83,2024-01-02
1002,Suspension,Martin32,2024-01-03
1003,Return,Jackson19,2024-01-04
1004,Injury,Martinez99,2024-01-05
1005,Activation,Miller61,2024-01-06
1006,Trade,Moore7,2024-01-07
1007,Trade,Martin14,2024-01-08
1008,Release,Hernandez35,2024-01-09
1009,Signing,Brown73,2024-01-10
1010,Suspension,Lopez92,2024-01-11
1011,Signing,Moore78,2024-01-12
1012,Activation,Rodriguez95,2024-01-13
1013,Activation,Martin84,2024-01-14
1014,Signing,Johnson26,2024-01-15
1015,Activation,Miller55,2024-01-16
1016,Injury,Jones63,2024-01-17
1017,Activation,Williams38,2024-01-18
1018,Activation,Lopez31,2024-01-19
1019,Suspension,Garcia46,2024-01-20
1020,Release,Garcia4,2024-01-21
1021,Suspension,Rodriguez61,2024-01-22
1022,Release,Smith32,2024-01-23
1023,Trade,Gonzalez15,2024-01-24
1024,Release,Martinez29,2024-01-25
1025,Release,Hernandez99,2024-01-26
1026,Injury,Hernandez92,2024-01-27
1027,Return,Anderson86,2024-01-28
1028,Release,Thomas40,2024-01-29
1029,Activation,Rodriguez7,2024-01-30
1030,Signing,Taylor32,2024-01-31
1031,Return,Lopez61,2024-02-01
1032,Signing,Taylor22,2024-02-02
1033,Activation,Brown72,2024-02-03
1034,Return,Davis37,2024-02-04
1035,Trade,Taylor87,2024-02-05
1036,Injury,Martinez91,2024-02-06
1037,Release,Wilson58,2024-02-07
1038,Injury,Rodriguez63,2024-02-08
1039,Trade,Taylor10,2024-02-09
1040,Release,Wilson9,2024-02-10
1041,Signing,Martinez59,2024-02-11
1042,Injury,Martin56,2024-02-12
1043,Return,Anderson70,2024-02-13
1044,Suspension,Rodriguez62,2024-02-14
1045,Trade,Johnson98,2024-02-15
1046,Signing,Anderson95,2024-02-16
1047,Return,Hernandez70,2024-02-17
1048,Return,Hernandez42,2024-02-18
1049,Suspension,Lopez29,2024-02-19
1050,Signing,Jones36,2024-02-20
1051,Suspension,Williams77,2024-02-21
1052,Injury,Taylor47,2024-02-22
1053,Signing,Johnson23,2024-02-23
1054,Return,Smith62,2024-02-24
1055,Release,Lopez56,2024-02-25
1056,Injury,Jackson93,2024-02-26
1057,Return,Jackson83,2024-02-27
1058,Activation,Anderson15,2024-02-28
1059,Activation,Rodriguez98,2024-02-29
1060,Injury,Miller28,2024-03-01
1061,Injury,Smith34,2024-03-02
1062,Injury,Martin17,2024-03-03
1063,Activation,Wilson80,2024-03-04
1064,Activation,Thomas39,2024-03-05
1065,Activation,Wilson38,2024-03-06
1066,Return,Hernandez61,2024-03-07
1067,Activation,Lopez10,2024-03-08
1068,Return,Garcia70,2024-03-09
1069,Trade,Jackson3,2024-03-10
1070,Release,Taylor25,2024-03-11
1071,Return,Brown70,2024-03-12
1072,Trade,Hernandez73,2024-03-13
1073,Signing,Brown59,2024-03-14
1074,Release,Garcia84,2024-03-15
1075,Return,Brown89,2024-03-16
1076,Return,Johnson33,2024-03-17
1077,Suspension,Williams85,2024-03-18
1078,Signing,Thomas6,2024-03-19
1079,Trade,Martinez75,2024-03-20
1080,Signing,Gonzalez61,2024-03-21
1081,Suspension,Garcia25,2024-03-22
1082,Trade,Jones7,2024-03-23
1083,Activation,Johnson25,2024-03-24
1084,Release,Garcia66,2024-03-25
1085,Release,Gonzalez89,2024-03-26
1086,Release,Gonzalez49,2024-03-27
1087,Injury,Jackson13,2024-03-28
1088,Trade,Miller17,2024-03-29
1089,Activation,Williams58,2024-03-30
1090,Trade,Miller30,2024-03-31
1091,Activation,Gonzalez85,2024-04-01
1092,Release,Hernandez63,2024-04-02
1093,Return,Rodriguez65,2024-04-03
1094,Trade,Williams38,2024-04-04
1095,Trade,Thomas1,2024-04-05
1096,Signing,Jackson81,2024-04-06
1097,Release,Hernandez77,2024-04-07
1098,Release,Anderson46,2024-04-08
1099,Trade,Garcia84,2024-04-09
1100,Injury,Anderson35,2024-04-10
1101,Release,Hernandez84,2024-04-11
1102,Release,Moore98,2024-04-12
1103,Activation,Anderson82,2024-04-13
1104,Trade,Martinez17,2024-04-14
1105,Suspension,Wilson5,2024-04-15
1106,Activation,Garcia31,2024-04-16
1107,Suspension,Rodriguez88,2024-04-17
1108,Return,Thomas53,2024-04-18
1109,Return,Miller21,2024-04-19
1110,Release,Garcia64,2024-04-20
1111,Release,Brown23,2024-04-21
1112,Release,Rodriguez96,2024-04-22
1113,Trade,Jackson18,2024-04-23
1114,Trade,Jones24,2024-04-24
1115,Signing,Johnson63,2024-04-25
1116,Return,Miller90,2024-04-26
1117,Return,Taylor59,2024-04-27
1118,Activation,Garcia54,2024-04-28
1119,Trade,Rodriguez99,2024-04-29
1120,Signing,Thomas75,2024-04-30
1121,Release,Lopez37,2024-05-01
1122,Injury,Hernandez84,2024-05-02
1123,Return,Anderson85,2024-05-03
1124,Injury,Garcia95,2024-05-04
1125,Release,Jackson81,2024-05-05
1126,Release,Garcia78,2024-05-06
1127,Injury,Taylor87,2024-05-07
1128,Signing,Moore90,2024-05-08
1129,Suspension,Jackson68,2024-05-09
1130,Return,Lopez36,2024-05-10
1131,Trade,Johnson2,2024-05-11
1132,Signing,Lopez42,2024-05-12
1133,Return,Jones44,2024-05-13
1134,Suspension,Jackson11,2024-05-14
1135,Suspension,Garcia44,2024-05-15
1136,Return,Martinez17,2024-05-16
1137,Activation,Martinez70,2024-05-17
1138,Injury,Wilson50,2024-05-18
1139,Return,Brown3,2024-05-19
1140,Signing,Rodriguez27,2024-05-20
1141,Suspension,Miller86,2024-05-21
1142,Activation,Wilson9,2024-05-22
1143,Suspension,Hernandez50,2024-05-23
1144,Trade,Thomas15,2024-05-24
1145,Release,Gonzalez74,2024-05-25
1146,Injury,Williams12,2024-05-26
1147,Injury,Smith80,2024-05-27
1148,Return,Anderson98,2024-05-28
1149,Signing,Garcia18,2024-05-29
1150,Signing,Martinez22,2024-05-30
1151,Trade,Hernandez79,2024-05-31
1152,Return,Johnson47,2024-06-01
1153,Suspension,Martin35,2024-06-02
1154,Release,Rodriguez71,2024-06-03
1155,Signing,Anderson73,2024-06-04
1156,Release,Davis7,2024-06-05
1157,Trade,Martinez42,2024-06-06
1158,Signing,Taylor21,2024-06-07
1159,Trade,Rodriguez94,2024-06-08
1160,Injury,Martinez32,2024-06-09
1161,Trade,Brown30,2024-06-10
1162,Injury,Taylor59,2024-06-11
1163,Injury,Wilson92,2024-06-12
1164,Release,Garcia55,2024-06-13
1165,Signing,Johnson72,2024-06-14
1166,Injury,Davis94,2024-06-15
1167,Suspension,Rodriguez9,2024-06-16
1168,Injury,Lopez35,2024-06-17
1169,Activation,Martinez56,2024-06-18
1170,Suspension,Williams22,2024-06-19
1171,Injury,Jones26,2024-06-20
1172,Activation,Miller33,2024-06-21
1173,Signing,Davis42,2024-06-22
1174,Trade,Smith34,2024-06-23
1175,Suspension,Johnson6,2024-06-24
1176,Signing,Miller39,2024-06-25
1177,Trade,Smith15,2024-06-26
1178,Trade,Moore83,2024-06-27
1179,Signing,Moore31,2024-06-28
1180,Suspension,Thomas82,2024-06-29
1181,Return,Smith97,2024-06-30
1182,Release,Davis56,2024-07-01
1183,Return,Garcia73,2024-07-02
1184,Injury,Hernandez53,2024-07-03
1185,Injury,Williams10,2024-07-04
1186,Activation,Rodriguez1,2024-07-05
1187,Injury,Davis43,2024-07-06
1188,Trade,Johnson31,2024-07-07
1189,Trade,Davis60,2024-07-08
1190,Trade,Johnson88,2024-07-09
1191,Suspension,Rodriguez22,2024-07-10
1192,Injury,Garcia14,2024-07-11
1193,Injury,Martin93,2024-07-12
1194,Trade,Johnson56,2024-07-13
1195,Signing,Johnson31,2024-07-14
1196,Suspension,Wilson32,2024-07-15
1197,Return,Martinez12,2024-07-16
1198,Signing,Johnson98,2024-07-17
1199,Injury,Johnson24,2024-07-18
1200,Suspension,Martin42,2024-07-19
1201,Activation,Rodriguez34,2024-07-20
1202,Activation,Miller23,2024-07-21
1203,Signing,Garcia3,2024-07-22
1204,Return,Garcia52,2024-07-23
1205,Activation,Smith35,2024-07-24
1206,Release,Jones29,2024-07-25
1207,Release,Martin45,2024-07-26
1208,Suspension,Miller51,2024-07-27
1209,Return,Anderson75,2024-07-28
1210,Activation,Gonzalez13,2024-07-29
1211,Activation,Martinez73,2024-07-30
1212,Trade,Wilson42,2024-07-31
1213,Activation,Gonzalez72,2024-08-01
1214,Suspension,Jones83,2024-08-02
1215,Signing,Anderson38,2024-08-03
1216,Return,Anderson88,2024-08-04
1217,Signing,Smith16,2024-08-05
1218,Release,Thomas38,2024-08-06
1219,Release,Martinez78,2024-08-07
1220,Suspension,Martin33,2024-08-08
1221,Signing,Davis17,2024-08-09
1222,Activation,Martin75,2024-08-10
1223,Injury,Lopez24,2024-08-11
1224,Release,Jones21,2024-08-12
1225,Injury,Rodriguez45,2024-08-13
1226,Signing,Martin8,2024-08-14
1227,Signing,Miller26,2024-08-15
1228,Injury,Davis78,2024-08-16
1229,Activation,Gonzalez6,2024-08-17
1230,Return,Jackson14,2024-08-18
1231,Return,Wilson38,2024-08-19
1232,Release,Garcia80,2024-08-20
1233,Return,Taylor88,2024-08-21
1234,Activation,Miller26,2024-08-22
1235,Injury,Thomas85,2024-08-23
1236,Activation,Smith48,2024-08-24
1237,Trade,Anderson61,2024-08-25
1238,Signing,Jones86,2024-08-26
1239,Signing,Jackson29,2024-08-27
1240,Signing,Davis20,2024-08-28
1241,Signing,Brown93,2024-08-29
1242,Release,Lopez41,2024-08-30
1243,Signing,Lopez19,2024-08-31
1244,Suspension,Johnson87,2024-09-01
1245,Signing,Garcia69,2024-09-02
1246,Signing,Thomas14,2024-09-03
1247,Signing,Lopez52,2024-09-04
1248,Release,Martinez4,2024-09-05
1249,Suspension,Taylor16,2024-09-06
1250,Release,Jackson8,2024-09-07
1251,Trade,Jackson93,2024-09-08
1252,Trade,Hernandez14,2024-09-09
1253,Suspension,Johnson46,2024-09-10
1254,Activation,Wilson84,2024-09-11
1255,Injury,Thomas76,2024-09-12
1256,Return,Garcia64,2024-09-13
1257,Injury,Taylor17,2024-09-14
1258,Return,Thomas89,2024-09-15
1259,Injury,Hernandez7,2024-09-16
1260,Suspension,Jones91,2024-09-17
1261,Trade,Thomas44,2024-09-18
1262,Signing,Miller65,2024-09-19
1263,Suspension,Rodriguez6,2024-09-20
1264,Activation,Smith1,2024-09-21
1265,Suspension,Gonzalez87,2024-09-22
1266,Suspension,Jackson13,2024-09-23
1267,Injury,Moore12,2024-09-24
1268,Trade,Martin67,2024-09-25
1269,Trade,Taylor54,2024-09-26
1270,Suspension,Garcia67,2024-09-27
1271,Release,Wilson52,2024-09-28
1272,Signing,Davis16,2024-09-29
1273,Signing,Williams51,2024-09-30
1274,Signing,Jones80,2024-10-01
1275,Signing,Johnson26,2024-10-02
1276,Injury,Miller8,2024-10-03
1277,Activation,Jackson99,2024-10-04
1278,Release,Moore76,2024-10-05
1279,Suspension,Hernandez42,2024-10-06
1280,Trade,Miller21,2024-10-07
1281,Trade,Thomas43,2024-10-08
