player_id,name,position,jersey,yards
1,Lopez1,RB,16,1811
2,Taylor2,TE,49,1711
3,Brown3,S,17,2553
4,Williams4,WR,19,932
5,Lopez5,TE,74,3926
6,Miller6,CB,94,3117
7,Anderson7,QB,60,3171
8,Brown8,OL,68,1214
9,Thomas9,WR,87,1572
10,Wilson10,OL,92,3027
11,Wilson11,LB,15,2588
12,Williams12,S,9,1608
13,Williams13,LB,85,3607
14,Taylor14,CB,81,1565
15,Taylor15,DL,15,787
16,Martin16,TE,89,3219
17,Davis17,TE,1,1915
18,Johnson18,LB,50,631
19,Smith19,S,86,833
20,Rodriguez20,LB,2,440
21,Martinez21,OL,74,3979
22,Taylor22,DL,85,782
23,Davis23,DL,68,927
24,Smith24,RB,97,1016
25,Brown25,TE,96,3031
26,Jackson26,QB,47,1155
27,Miller27,RB,90,782
28,Brown28,RB,53,1584
29,Hernandez29,WR,26,1041
30,Miller30,TE,48,3623
31,Moore31,OL,63,1522
32,Williams32,CB,48,3563
33,Taylor33,CB,70,725
34,Smith34,S,22,914
35,Brown35,DL,95,3699
36,Martinez36,S,55,413
37,Garcia37,S,85,1765
38,Davis38,OL,5,1561
39,Miller39,QB,55,3703
40,Martinez40,S,5,1647
41,Williams41,LB,39,3366
42,Martinez42,WR,48,2038
43,Miller43,WR,72,3417
44,Johnson44,LB,10,3455
45,Davis45,LB,91,3760
46,Williams46,CB,50,1248
47,Hernandez47,DL,46,2646
48,Moore48,LB,90,220
49,Smith49,LB,82,3568
50,Williams50,WR,47,1932
51,Brown51,S,81,1986
52,Martinez52,DL,87,2573
53,Smith53,S,67,1483
54,Martinez54,OL,57,3048
55,Rodriguez55,RB,94,291
56,Hernandez56,WR,23,1835
57,Garcia57,TE,13,1571
58,Davis58,OL,23,2202
59,Jackson59,S,3,1878
60,Johnson60,DL,89,455
61,Hernandez61,WR,45,113
62,Jones62,S,24,3971
63,Gonzalez63,OL,11,1356
64,Anderson64,LB,2,522
65,Davis65,QB,70,3426
66,Anderson66,S,42,1012
67,Hernandez67,S,20,2261
68,Martinez68,LB,18,304
69,Jones69,OL,38,601
70,Martinez70,LB,36,2301
71,Anderson71,RB,52,3924
72,Jones72,S,50,2539
73,Johnson73,TE,86,557
74,Williams74,LB,87,3931
75,Lopez75,TE,46,2882
76,Jones76,QB,46,3431
77,Gonzalez77,WR,99,265
78,Anderson78,OL,95,2296
79,Martin79,WR,60,3706
80,Johnson80,WR,41,603
81,Moore81,OL,90,2025
82,Williams82,CB,90,814
83,Rodriguez83,QB,71,820
84,Moore84,WR,37,2579
85,Anderson85,RB,71,507
86,Martinez86,DL,3,2068
87,Anderson87,OL,26,3662
88,Rodriguez88,DL,99,1219
89,Garcia89,RB,65,1885
90,Thomas90,CB,44,1381
91,Davis91,WR,28,3807
92,Martin92,QB,72,3403
93,Rodriguez93,OL,20,745
94,Thomas94,CB,91,1474
95,Wilson95,RB,60,3975
96,Anderson96,OL,5,2640
97,Brown97,CB,59,961
98,Davis98,WR,12,2337
99,Jones99,QB,78,3361
100,Taylor100,QB,75,177
101,Brown101,TE,76,770
102,Anderson102,TE,99,726
103,Smith103,QB,15,1667
104,Anderson104,RB,67,508
105,Smith105,LB,50,708
106,Jones106,LB,95,1385
107,Johnson107,CB,58,2739
108,Jones108,S,59,884
109,Jones109,DL,92,2140
110,Jones110,QB,86,2161
111,Hernandez111,QB,48,2539
112,Williams112,OL,82,3630
113,Lopez113,TE,39,838
114,Wilson114,TE,7,1304
115,Garcia115,RB,96,3428
116,Wilson116,RB,17,2535
117,Martinez117,CB,99,1248
118,Jones118,TE,76,1152
119,Wilson119,CB,49,2290
120,Rodriguez120,LB,92,3735
121,Rodriguez121,QB,56,860
122,Brown122,LB,32,3010
123,Taylor123,DL,16,3146
124,Davis124,RB,67,2041
125,Davis125,TE,44,2353
126,Jones126,RB,88,3082
127,Rodriguez127,QB,40,1342
128,Davis128,QB,90,2867
129,Brown129,QB,28,2995
130,Johnson130,WR,27,3949
131,Lopez131,TE,40,3061
132,Anderson132,S,35,3623
133,Davis133,LB,1,3349
134,Thomas134,OL,49,948
135,Martinez135,QB,10,915
136,Gonzalez136,OL,51,3916
137,Anderson137,TE,69,2872
138,Thomas138,S,53,220
139,Thomas139,WR,33,174
140,Taylor140,QB,67,3636
141,Miller141,RB,28,3317
142,Williams142,S,43,3617
143,Gonzalez143,TE,39,3029
144,Lopez144,LB,62,704
145,Brown145,DL,97,2477
146,Martin146,QB,35,1900
147,Miller147,DL,75,1597
148,Thomas148,WR,93,301
149,Lopez149,DL,26,2263
150,Anderson150,S,80,3084
151,Lopez151,OL,5,3823
152,Jackson152,TE,67,2992
153,Lopez153,LB,67,757
154,Brown154,LB,94,3729
155,Hernandez155,RB,12,331
156,Lopez156,WR,90,3070
157,Martin157,RB,42,1753
158,Taylor158,DL,34,1899
159,Hernandez159,QB,14,1325
160,Wilson160,CB,65,3136
161,Wilson161,LB,33,1360
162,Lopez162,OL,79,1242
163,Jones163,OL,63,3907
164,Jackson164,QB,85,733
165,Martin165,WR,69,1304
166,Brown166,DL,10,3125
167,Thomas167,LB,42,2086
168,Anderson168,WR,16,1077
169,Gonzalez169,TE,21,1845
170,Taylor170,DL,79,350
171,Wilson171,TE,42,3223
172,Garcia172,WR,14,403
173,Gonzalez173,LB,55,453
174,Jackson174,WR,47,2524
175,Jackson175,OL,93,1445
176,Williams176,TE,56,2438
177,Smith177,LB,68,2643
178,Martin178,RB,18,2755
179,Miller179,RB,23,645
180,Jones180,OL,80,351
181,Wilson181,DL,94,1152
182,Brown182,S,58,995
183,Wilson183,TE,57,2352
184,Anderson184,QB,65,2331
185,Jones185,OL,90,3901
186,Hernandez186,WR,75,1716
187,Brown187,DL,54,377
188,Taylor188,WR,77,3504
189,Williams189,WR,34,185
190,Gonzalez190,CB,55,3610
191,Moore191,RB,52,3605
192,Johnson192,OL,5,2957
193,Martin193,DL,68,1306
194,Jackson194,CB,83,3732
195,Rodriguez195,WR,18,2573
196,Martinez196,OL,53,1899
