playerId,name,position,yards,touchdowns,injured
1001,Jackson_IV,DL,1466,6,False
1002,Jones_IV,WR,1125,7,True
1003,Williams_Sr,S,450,9,False
1004,Jones_Jr,TE,118,7,True
1005,Smith_,OL,1128,18,False
1006,Jackson_IV,K,775,19,False
1007,Jackson_Jr,CB,223,15,True
1008,Jackson_Sr,WR,1246,9,True
1009,Brown_IV,DL,960,15,True
1010,Jones_III,RB,969,9,False
1011,Wilson_,OL,303,11,True
1012,Miller_Sr,WR,38,6,True
1013,Jackson_IV,S,1497,14,False
1014,Moore_IV,QB,383,20,True
1015,Jackson_IV,S,132,2,True
1016,Johnson_Sr,OL,400,15,False
1017,Williams_,LB,925,9,False
1018,Miller_Jr,K,1322,14,False
1019,Johnson_,QB,403,17,False
1020,Moore_Sr,LB,584,20,True
1021,Brown_IV,TE,411,10,True
1022,Miller_Sr,DL,272,0,True
1023,Jones_Sr,S,503,19,False
1024,Williams_Sr,TE,394,6,True
1025,Moore_III,DL,1334,13,False
1026,Brown_III,LB,777,5,True
1027,Jones_IV,K,387,5,False
1028,Brown_Jr,OL,1360,16,False
1029,Williams_,WR,448,13,True
1030,Moore_,QB,166,15,False
1031,Smith_IV,K,431,8,False
1032,Miller_Sr,WR,936,16,False
1033,Jackson_IV,QB,1230,4,False
1034,Williams_IV,RB,633,9,False
1035,Jackson_,OL,1216,20,True
1036,Moore_IV,S,1138,12,False
1037,Jackson_Sr,QB,595,13,False
1038,Jackson_IV,OL,1497,16,False
1039,Wilson_IV,CB,597,0,False
1040,Wilson_,S,731,4,False
1041,Davis_Jr,QB,462,20,True
1042,Jones_Sr,WR,1220,5,False
1043,Jackson_Jr,CB,616,16,False
1044,Johnson_III,RB,769,9,False
1045,Johnson_Sr,DL,455,12,True
1046,Johnson_III,TE,1085,17,False
1047,Miller_III,QB,847,5,False
1048,Wilson_III,TE,847,6,True
1049,Wilson_,RB,658,3,True
1050,Davis_,TE,1142,0,True
