action_id,action_type,target,timestamp
1,ADD_PLAYER,Brown,2024-01-01 00:00:20
2,REMOVE_TRANSACTION,Johnson,2024-01-01 00:00:40
3,ADD_PLAYER,Johnson,2024-01-01 00:01:00
4,ADD_TRANSACTION,Johnson,2024-01-01 00:01:20
5,REMOVE_TRANSACTION,Jones,2024-01-01 00:01:40
6,REMOVE_TRANSACTION,Smith,2024-01-01 00:02:00
7,REMOVE_TRANSACTION,Jackson,2024-01-01 00:02:20
8,REMOVE_TRANSACTION,Garcia,2024-01-01 00:02:40
9,ADD_TRANSACTION,Smith,2024-01-01 00:03:00
10,REMOVE_PLAYER,Jackson,2024-01-01 00:03:20
11,ADD_PLAYER,Moore,2024-01-01 00:03:40
12,REMOVE_PLAYER,Wilson,2024-01-01 00:04:00
13,ADD_PLAYER,Miller,2024-01-01 00:04:20
14,UPDATE_STATS,Jackson,2024-01-01 00:04:40
15,REMOVE_TRANSACTION,Davis,2024-01-01 00:05:00
16,REMOVE_PLAYER,Smith,2024-01-01 00:05:20
17,UPDATE_STATS,Wilson,2024-01-01 00:05:40
18,ADD_PLAYER,Garcia,2024-01-01 00:06:00
19,REMOVE_TRANSACTION,Jones,2024-01-01 00:06:20
20,REMOVE_PLAYER,Miller,2024-01-01 00:06:40
21,UPDATE_STATS,Williams,2024-01-01 00:07:00
22,ADD_TRANSACTION,Jones,2024-01-01 00:07:20
23,REMOVE_TRANSACTION,Taylor,2024-01-01 00:07:40
24,ADD_TRANSACTION,Wilson,2024-01-01 00:08:00
25,REMOVE_PLAYER,Jones,2024-01-01 00:08:20
26,ADD_PLAYER,Wilson,2024-01-01 00:08:40
27,UPDATE_STATS,Garcia,2024-01-01 00:09:00
28,ADD_TRANSACTION,Miller,2024-01-01 00:09:20
29,UPDATE_STATS,Jackson,2024-01-01 00:09:40
30,REMOVE_TRANSACTION,Moore,2024-01-01 00:10:00
31,ADD_TRANSACTION,Johnson,2024-01-01 00:10:20
32,ADD_PLAYER,Jackson,2024-01-01 00:10:40
33,ADD_TRANSACTION,Williams,2024-01-01 00:11:00
34,ADD_PLAYER,Davis,2024-01-01 00:11:20
35,ADD_TRANSACTION,Smith,2024-01-01 00:11:40
36,ADD_PLAYER,Williams,2024-01-01 00:12:00
37,ADD_PLAYER,Johnson,2024-01-01 00:12:20
38,ADD_TRANSACTION,Jones,2024-01-01 00:12:40
39,UPDATE_STATS,Smith,2024-01-01 00:13:00
40,REMOVE_TRANSACTION,Garcia,2024-01-01 00:13:20
41,ADD_TRANSACTION,Williams,2024-01-01 00:13:40
42,ADD_PLAYER,Williams,2024-01-01 00:14:00
43,ADD_PLAYER,Davis,2024-01-01 00:14:20
44,REMOVE_TRANSACTION,Miller,2024-01-01 00:14:40
45,REMOVE_TRANSACTION,Wilson,2024-01-01 00:15:00
46,UPDATE_STATS,Johnson,2024-01-01 00:15:20
47,REMOVE_PLAYER,Brown,2024-01-01 00:15:40
48,ADD_PLAYER,Garcia,2024-01-01 00:16:00
49,REMOVE_PLAYER,Moore,2024-01-01 00:16:20
50,ADD_TRANSACTION,Davis,2024-01-01 00:16:40
